Tinh/TP,Quan/Huyen,PN,WC,area,floor,Tien_ich,price_
Hà Nội,Long Biên,3.0,3.0,50.0,4.0,1,2.8
Thừa Thiên Huế,Huế,3.0,3.0,116.0,3.0,1,6.0
Thừa Thiên Huế,Huế,2.0,2.0,60.0,1.0,2,2.8
TP Hồ Chí Minh,Bình Thạnh,10.0,10.0,110.0,4.0,2,15.9
Đà Nẵng,Sơn Trà,4.0,4.0,80.0,2.0,3,5.6
Hà Nội,Cầu Giấy,8.0,6.0,64.0,1.0,2,4.4
Hà Nội,Đống Đa,,,86.0,3.0,3,6.2
Hà Nội,Cầu Giấy,6.0,6.0,70.0,5.0,2,7.5
Hà Nội,Thanh Xuân,,,70.0,1.0,3,9.9
Hà Nội,Ba Đình,,,32.7,6.0,1,6.1
Đà Nẵng,Sơn Trà,12.0,9.0,420.0,6.0,3,12.5
Đà Nẵng,Sơn Trà,7.0,8.0,350.0,5.0,5,9.1
Hà Nội,Hoàng Mai,,,48.0,3.0,1,6.0
Cần Thơ,Thới Lai,,,295.0,4.0,2,9.91
